vtype,average,above_average,below_average
all,566.6162790697674,22,64
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,837.7777777777778,3,6
DB_DUPLICATE_SWITCH_CLAUSES,2.0,2,0
DLS_DEAD_LOCAL_STORE,1606.75,2,2
DM_CONVERT_CASE,1720.0,1,1
DM_DEFAULT_ENCODING,90.66666666666667,1,2
EI_EXPOSE_REP,4.0,1,0
EI_EXPOSE_REP2,4.0,1,0
ES_COMPARING_STRINGS_WITH_EQ,275.0,1,0
IMSE_DONT_CATCH_IMSE,5.0,2,0
IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN,1719.5,1,1
LI_LAZY_INIT_STATIC,10.0,2,0
MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,54.8,1,4
MS_SHOULD_BE_FINAL,5.0,1,0
NP_LOAD_OF_KNOWN_NULL_VALUE,1362.4,3,2
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,9.0,1,0
OBL_UNSATISFIED_OBLIGATION,5.0,1,0
OS_OPEN_STREAM_EXCEPTION_PATH,1716.0,1,1
PZLA_PREFER_ZERO_LENGTH_ARRAYS,263.7647058823529,16,1
SBSC_USE_STRINGBUFFER_CONCATENATION,0.0,1,0
SF_SWITCH_FALLTHROUGH,40.0,1,0
SF_SWITCH_NO_DEFAULT,1.0,1,0
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,10.0,2,0
THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,281.0,1,0
THROWS_METHOD_THROWS_CLAUSE_THROWABLE,48.0,1,0
THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,270.0,1,0
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,930.6,2,3
UUF_UNUSED_FIELD,5.0,1,0
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,548.2857142857143,2,5
UWF_NULL_FIELD,0.0,1,0
WA_NOT_IN_LOOP,5.0,1,0
WMI_WRONG_MAP_ITERATOR,1556.0,1,1
