vtype,average,above_average,below_average
all,267.32068311195445,682,1426
BC_UNCONFIRMED_CAST,4.25,3,1
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,256.22352941176473,22,63
DB_DUPLICATE_SWITCH_CLAUSES,415.6666666666667,21,36
DLS_DEAD_LOCAL_STORE,390.2280701754386,22,35
DLS_DEAD_LOCAL_STORE_OF_NULL,849.0,2,6
DM_BOXED_PRIMITIVE_FOR_PARSING,0.6666666666666666,1,2
DM_CONVERT_CASE,680.7142857142857,4,3
DM_DEFAULT_ENCODING,173.4070796460177,108,344
DM_EXIT,2.25,3,5
DM_NUMBER_CTOR,0.6666666666666666,1,2
EI_EXPOSE_REP,7.5,12,36
EI_EXPOSE_REP2,7.5,13,39
ES_COMPARING_STRINGS_WITH_EQ,25.09090909090909,5,6
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,3.0,1,1
IMSE_DONT_CATCH_IMSE,15.0,2,0
IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN,328.6470588235294,7,10
MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,346.8695652173913,14,32
MS_SHOULD_BE_FINAL,489.1875,7,9
NM_CLASS_NAMING_CONVENTION,1.5,18,18
NO_NOTIFY_NOT_NOTIFYALL,415.8421052631579,21,36
NP_IMMEDIATE_DEREFERENCE_OF_READLINE,0.0,2,0
NP_LOAD_OF_KNOWN_NULL_VALUE,502.6551724137931,14,15
OBL_UNSATISFIED_OBLIGATION,8.333333333333334,1,2
OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,3.0,2,2
OS_OPEN_STREAM,2.5714285714285716,1,6
OS_OPEN_STREAM_EXCEPTION_PATH,398.0833333333333,6,6
PZLA_PREFER_ZERO_LENGTH_ARRAYS,335.60141093474425,199,368
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,202.1875,5,11
REC_CATCH_EXCEPTION,1.5,2,2
SA_FIELD_DOUBLE_ASSIGNMENT,416.05263157894734,14,24
SBSC_USE_STRINGBUFFER_CONCATENATION,4.0,1,0
SE_BAD_FIELD,438.6111111111111,7,11
SF_SWITCH_NO_DEFAULT,74.81818181818181,4,18
SS_SHOULD_BE_STATIC,4.0,1,0
THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,3.6,2,3
THROWS_METHOD_THROWS_CLAUSE_THROWABLE,597.0,2,6
THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,372.97058823529414,56,114
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,134.20731707317074,22,60
UUF_UNUSED_FIELD,8.333333333333334,1,2
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,147.27450980392157,12,39
UW_UNCOND_WAIT,416.05263157894734,14,24
VA_FORMAT_STRING_USES_NEWLINE,0.0,22,0
VO_VOLATILE_INCREMENT,2.0,1,0
WA_NOT_IN_LOOP,415.4736842105263,7,12
WMI_WRONG_MAP_ITERATOR,206.5,5,9
