,,max,min,average,median,fixed-cnt,unfixed-cnt
BAD_PRACTICE,DM_EXIT,nan,nan,nan,nan,nan,8.0
BAD_PRACTICE,ES_COMPARING_STRINGS_WITH_EQ,275.0,275.0,275.0,275.0,1.0,11.0
BAD_PRACTICE,IMSE_DONT_CATCH_IMSE,5.0,5.0,5.0,5.0,2.0,2.0
BAD_PRACTICE,NM_CLASS_NAMING_CONVENTION,nan,nan,nan,nan,nan,36.0
BAD_PRACTICE,OS_OPEN_STREAM,nan,nan,nan,nan,nan,7.0
BAD_PRACTICE,OS_OPEN_STREAM_EXCEPTION_PATH,2312.0,1120.0,1716.0,1716.0,2.0,12.0
BAD_PRACTICE,SE_BAD_FIELD,nan,nan,nan,nan,nan,18.0
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,281.0,281.0,281.0,281.0,1.0,5.0
BAD_PRACTICE,THROWS_METHOD_THROWS_CLAUSE_THROWABLE,48.0,48.0,48.0,48.0,1.0,8.0
BAD_PRACTICE,THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,270.0,270.0,270.0,270.0,1.0,170.0
BAD_PRACTICE,VA_FORMAT_STRING_USES_NEWLINE,nan,nan,nan,nan,nan,22.0
CORRECTNESS,IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN,2312.0,1127.0,1719.5,1719.5,2.0,17.0
CORRECTNESS,UWF_NULL_FIELD,0.0,0.0,0.0,0.0,0.0,nan
DODGY_CODE,BC_UNCONFIRMED_CAST,nan,nan,nan,nan,nan,4.0
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,1762.0,0.0,837.7777777777778,550.0,8.0,85.0
DODGY_CODE,DB_DUPLICATE_SWITCH_CLAUSES,2.0,2.0,2.0,2.0,2.0,57.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE,2312.0,759.0,1606.75,1678.0,4.0,57.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE_OF_NULL,nan,nan,nan,nan,nan,8.0
DODGY_CODE,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,nan,nan,nan,nan,nan,2.0
DODGY_CODE,NP_IMMEDIATE_DEREFERENCE_OF_READLINE,nan,nan,nan,nan,nan,2.0
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,2312.0,7.0,1362.4,1911.0,5.0,29.0
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,9.0,9.0,9.0,9.0,1.0,nan
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,282.0,0.0,263.7647058823529,282.0,16.0,567.0
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,nan,nan,nan,nan,nan,16.0
DODGY_CODE,REC_CATCH_EXCEPTION,nan,nan,nan,nan,nan,4.0
DODGY_CODE,SA_FIELD_DOUBLE_ASSIGNMENT,nan,nan,nan,nan,nan,38.0
DODGY_CODE,SF_SWITCH_FALLTHROUGH,40.0,40.0,40.0,40.0,1.0,nan
DODGY_CODE,SF_SWITCH_NO_DEFAULT,1.0,1.0,1.0,1.0,1.0,22.0
DODGY_CODE,ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,10.0,10.0,10.0,10.0,2.0,nan
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,2312.0,3.0,930.6,13.0,5.0,82.0
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,2312.0,1.0,548.2857142857143,41.0,7.0,51.0
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION,5.0,5.0,5.0,5.0,1.0,3.0
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION_EXCEPTION_EDGE,nan,nan,nan,nan,nan,4.0
I18N,DM_CONVERT_CASE,2312.0,1128.0,1720.0,1720.0,2.0,7.0
I18N,DM_DEFAULT_ENCODING,270.0,0.0,90.66666666666667,2.0,2.0,452.0
MALICIOUS_CODE,EI_EXPOSE_REP,4.0,4.0,4.0,4.0,1.0,48.0
MALICIOUS_CODE,EI_EXPOSE_REP2,4.0,4.0,4.0,4.0,1.0,52.0
MALICIOUS_CODE,MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,270.0,1.0,54.8,1.0,5.0,46.0
MALICIOUS_CODE,MS_SHOULD_BE_FINAL,5.0,5.0,5.0,5.0,1.0,16.0
Multithreaded correctness,LI_LAZY_INIT_STATIC,10.0,10.0,10.0,10.0,2.0,nan
Multithreaded correctness,NO_NOTIFY_NOT_NOTIFYALL,nan,nan,nan,nan,nan,57.0
Multithreaded correctness,UW_UNCOND_WAIT,nan,nan,nan,nan,nan,38.0
Multithreaded correctness,VO_VOLATILE_INCREMENT,nan,nan,nan,nan,nan,1.0
Multithreaded correctness,WA_NOT_IN_LOOP,5.0,5.0,5.0,5.0,1.0,19.0
PERFORMANCE,DM_BOXED_PRIMITIVE_FOR_PARSING,nan,nan,nan,nan,nan,3.0
PERFORMANCE,DM_NUMBER_CTOR,nan,nan,nan,nan,nan,3.0
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,0.0,0.0,0.0,0.0,0.0,1.0
PERFORMANCE,SS_SHOULD_BE_STATIC,nan,nan,nan,nan,nan,1.0
PERFORMANCE,UUF_UNUSED_FIELD,5.0,5.0,5.0,5.0,1.0,3.0
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,2312.0,800.0,1556.0,1556.0,2.0,14.0
