vtype,tp num,fp num,percent
ES_COMPARING_STRINGS_WITH_EQ,1,0,1.0
DM_DEFAULT_ENCODING,3,108,0.02702702702702703
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,1,0,1.0
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,0,2,0.0
NP_LOAD_OF_KNOWN_NULL_VALUE,5,14,0.2631578947368421
OBL_UNSATISFIED_OBLIGATION,1,0,1.0
NO_NOTIFY_NOT_NOTIFYALL,0,27,0.0
BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,9,22,0.2903225806451613
UWF_NULL_FIELD,1,0,1.0
THROWS_METHOD_THROWS_RUNTIMEEXCEPTION,1,72,0.0136986301369863
LI_LAZY_INIT_STATIC,2,0,1.0
OS_OPEN_STREAM_EXCEPTION_PATH,2,6,0.25
SA_FIELD_DOUBLE_ASSIGNMENT,0,18,0.0
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,2,0,1.0
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,5,16,0.23809523809523808
PZLA_PREFER_ZERO_LENGTH_ARRAYS,17,230,0.06882591093117409
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,7,12,0.3684210526315789
THROWS_METHOD_THROWS_CLAUSE_THROWABLE,1,7,0.125
SF_SWITCH_FALLTHROUGH,1,0,1.0
DLS_DEAD_LOCAL_STORE,4,28,0.125
WA_NOT_IN_LOOP,1,9,0.1
THROWS_METHOD_THROWS_CLAUSE_BASIC_EXCEPTION,1,0,1.0
MC_OVERRIDABLE_METHOD_CALL_IN_CONSTRUCTOR,5,18,0.21739130434782608
WMI_WRONG_MAP_ITERATOR,2,5,0.2857142857142857
DM_CONVERT_CASE,2,6,0.25
SF_SWITCH_NO_DEFAULT,1,4,0.2
MS_SHOULD_BE_FINAL,1,9,0.1
UUF_UNUSED_FIELD,1,0,1.0
SE_BAD_FIELD,0,9,0.0
IMSE_DONT_CATCH_IMSE,2,0,1.0
UW_UNCOND_WAIT,0,18,0.0
SBSC_USE_STRINGBUFFER_CONCATENATION,1,0,1.0
DLS_DEAD_LOCAL_STORE_OF_NULL,0,7,0.0
EI_EXPOSE_REP2,1,0,1.0
DB_DUPLICATE_SWITCH_CLAUSES,2,27,0.06896551724137931
IP_PARAMETER_IS_DEAD_BUT_OVERWRITTEN,2,8,0.2
EI_EXPOSE_REP,1,0,1.0
