file,unknown,fixed,disappear,unfixed
src/java/org/apache/commons/pool/PoolUtils.java,2,,,651
src/java/org/apache/commons/pool/composite/AbstractManager.java,,,,2
src/java/org/apache/commons/pool/composite/ActiveLimitManager.java,,,,1
src/java/org/apache/commons/pool/composite/BorrowPolicy.java,,,,2
src/java/org/apache/commons/pool/composite/CompositeKeyedObjectPool.java,,,,4
src/java/org/apache/commons/pool/composite/CompositeObjectPool.java,,,,4
src/java/org/apache/commons/pool/composite/CompositeObjectPoolFactory.java,,,,3
src/java/org/apache/commons/pool/composite/DebugTracker.java,1,,,1
src/java/org/apache/commons/pool/composite/DelegateLender.java,,,,1
src/java/org/apache/commons/pool/composite/DelegateManager.java,,,,1
src/java/org/apache/commons/pool/composite/EvictorLender.java,,,,1
src/java/org/apache/commons/pool/composite/ExhaustionPolicy.java,,,,2
src/java/org/apache/commons/pool/composite/FailLimitManager.java,,,,1
src/java/org/apache/commons/pool/composite/FailManager.java,,,,2
src/java/org/apache/commons/pool/composite/FifoLender.java,,,,1
src/java/org/apache/commons/pool/composite/GrowManager.java,,,,1
src/java/org/apache/commons/pool/composite/IdleEvictorLender.java,,,,2
src/java/org/apache/commons/pool/composite/IdleLimitManager.java,,,,1
src/java/org/apache/commons/pool/composite/InvalidEvictorLender.java,,,,3
src/java/org/apache/commons/pool/composite/KeyedPoolableObjectFactoryAdapter.java,,,,1
src/java/org/apache/commons/pool/composite/LifoLender.java,,,,1
src/java/org/apache/commons/pool/composite/LimitPolicy.java,,,,2
src/java/org/apache/commons/pool/composite/NullLender.java,,,,1
src/java/org/apache/commons/pool/composite/ReferenceTracker.java,,,,1
src/java/org/apache/commons/pool/composite/SimpleTracker.java,,,,3
src/java/org/apache/commons/pool/composite/SoftLender.java,,,,1
src/java/org/apache/commons/pool/composite/TrackingPolicy.java,,,,2
src/java/org/apache/commons/pool/composite/WaitLimitManager.java,,,,1
src/java/org/apache/commons/pool/impl/CursorableLinkedList.java,2,6,,63
src/java/org/apache/commons/pool/impl/GenericKeyedObjectPool.java,2,76,,438
src/java/org/apache/commons/pool/impl/GenericObjectPool.java,,20,,261
src/java/org/apache/commons/pool/impl/SoftReferenceObjectPool.java,,18,,97
src/java/org/apache/commons/pool/impl/StackKeyedObjectPool.java,,40,,232
src/java/org/apache/commons/pool/impl/StackKeyedObjectPoolFactory.java,,,,2
src/java/org/apache/commons/pool/impl/StackObjectPool.java,,18,,128
src/java/org/apache/commons/pool/impl/StackObjectPoolFactory.java,,,,2
src/java/org/apache/commons/pool2/PoolUtils.java,3,64,,90
src/java/org/apache/commons/pool2/impl/CursorableLinkedList.java,,6,,8
src/java/org/apache/commons/pool2/impl/GenericKeyedObjectPool.java,1,62,,69
src/java/org/apache/commons/pool2/impl/GenericKeyedObjectPoolFactory.java,,,,26
src/java/org/apache/commons/pool2/impl/GenericObjectPool.java,,38,,43
src/java/org/apache/commons/pool2/impl/GenericObjectPoolFactory.java,,2,,26
src/java/org/apache/commons/pool2/impl/PooledObject.java,,,,2
src/java/org/apache/commons/pool2/impl/SoftReferenceObjectPool.java,,2,,8
src/java/org/apache/commons/pool2/impl/StackKeyedObjectPool.java,,6,,18
src/java/org/apache/commons/pool2/impl/StackKeyedObjectPoolFactory.java,,10,,
src/java/org/apache/commons/pool2/impl/StackObjectPool.java,,8,,8
src/java/org/apache/commons/pool2/impl/StackObjectPoolFactory.java,,12,,
src/java/org/apache/commons/pool2/ref/AbstractReferenceObjectPool.java,,2,,2
src/java/org/apache/commons/pool2/ref/SoftReferenceObjectPool.java,,2,,3
src/main/java/org/apache/commons/pool2/PoolUtils.java,,68,,100
src/main/java/org/apache/commons/pool2/PooledObject.java,1,4,,20
src/main/java/org/apache/commons/pool2/impl/AbandonedConfig.java,,2,,15
src/main/java/org/apache/commons/pool2/impl/BaseGenericObjectPool.java,,12,,16
src/main/java/org/apache/commons/pool2/impl/DefaultPooledObject.java,,8,,55
src/main/java/org/apache/commons/pool2/impl/EvictionTimer.java,,6,,1
src/main/java/org/apache/commons/pool2/impl/GenericKeyedObjectPool.java,,40,,108
src/main/java/org/apache/commons/pool2/impl/GenericObjectPool.java,,20,,43
src/main/java/org/apache/commons/pool2/impl/PooledObject.java,,2,,
src/main/java/org/apache/commons/pool2/impl/PooledSoftReference.java,1,2,,
src/main/java/org/apache/commons/pool2/impl/SecurityManagerCallStack.java,,2,,1
src/main/java/org/apache/commons/pool2/impl/SoftReferenceObjectPool.java,,6,,54
src/main/java/org/apache/commons/pool2/impl/StaticBucketMap.java,,,,
src/main/java/org/apache/commons/pool2/proxy/JdkProxySource.java,,2,,1
