method,unknown,fixed,disappear,unfixed
<clinit>()V,,,,4
<init>()V,,2,,15
<init>(Ljava/lang/ClassLoader;[Ljava/lang/Class;)V,,2,,1
<init>(Ljava/lang/String;)V,,,,4
NO_METHOD,4,126,,408
activateObject(Ljava/lang/Object;)V,,2,,1
activateObject(Ljava/lang/Object;Ljava/lang/Object;)V,,2,,1
addObject()V,,10,,125
addObject(Ljava/lang/Object;)V,,4,,67
addObjectToPool(Ljava/lang/Object;Ljava/lang/Object;Z)V,,2,,35
addObjectToPool(Ljava/lang/Object;Z)V,,2,,35
allocate()V,,16,,112
allocate()Z,,,,16
borrowObject()Ljava/lang/Object;,,16,,5
borrowObject(J)Ljava/lang/Object;,,6,,18
borrowObject(Ljava/lang/Object;)Ljava/lang/Object;,,38,,14
borrowObject(Ljava/lang/Object;J)Ljava/lang/Object;,,12,,24
borrowObject(Ljava/time/Duration;)Ljava/lang/Object;,,,,4
borrowed(Ljava/lang/Object;)V,,,,1
cancel()V,,6,,7
cast(Ljava/lang/Throwable;)Ljava/lang/Exception;,,,,3
cleanObjectDeque(Ljava/lang/Object;Lorg/apache/commons/pool2/impl/GenericKeyedObjectPool$ObjectDeque;)V,,2,,
clear()V,,12,,110
clear(Ljava/lang/Object;)V,,8,,9
clearOldest()V,,18,,57
close()V,,24,,282
close(Ljava/lang/Object;)V,,,,1
compareTo(Ljava/lang/Object;)I,,,,20
compareTo(Lorg/apache/commons/pool/impl/GenericKeyedObjectPool$ObjectTimestampPair;)I,,,,31
compareTo(Lorg/apache/commons/pool2/impl/GenericKeyedObjectPool$ObjectTimestampPair;)I,,2,,4
compareTo(Lorg/apache/commons/pool2/impl/PooledObject;)I,,2,,1
create(Ljava/lang/Object;Z)Lorg/apache/commons/pool2/impl/PooledObject;,,2,,
debugInfo()Ljava/lang/String;,,2,,24
decrementActiveCount(Ljava/lang/Object;)V,,4,,9
destroy(Ljava/util/Map;)V,,,,8
destroy(Ljava/util/Map;Lorg/apache/commons/pool/KeyedPoolableObjectFactory;)V,,2,,
destroy(Lorg/apache/commons/pool2/impl/PooledObject;)V,,2,,
destroyObject(Ljava/lang/Object;)V,,2,,1
destroyObject(Ljava/lang/Object;Ljava/lang/Object;)V,,2,,1
destroyStack(Ljava/lang/Object;Ljava/util/Stack;)V,,,,33
endEvictionTest(Ljava/util/Deque;)Z,,4,,19
endEvictionTest(Lorg/apache/commons/pool2/impl/LinkedBlockingDeque;)Z,,,,1
equals(Ljava/lang/Object;)Z,1,4,,6
evict()V,1,34,,104
getFactory()Lorg/apache/commons/pool/PoolableObjectFactory;,,4,,
getMeanFromStatsCache(Ljava/util/LinkedList;)J,,4,,
getNumActive()I,,4,,2
getNumActive(Ljava/lang/Object;)I,,2,,1
getNumIdle()I,,4,,2
getNumIdle(Ljava/lang/Object;)I,,2,,1
getNumWaitersByKey()Ljava/util/Map;,,4,,13
hasBorrowWaiters()Z,,4,,14
incrementActiveCount(Ljava/lang/Object;)V,,4,,9
invalidateObject(Ljava/lang/Object;)V,1,30,,161
invalidateObject(Ljava/lang/Object;Ljava/lang/Object;)V,3,22,,159
listAllObjects()Ljava/util/Map;,,4,,13
makeObject()Ljava/lang/Object;,,2,,1
makeObject(Ljava/lang/Object;)Ljava/lang/Object;,,2,,1
passivateObject(Ljava/lang/Object;)V,,2,,1
passivateObject(Ljava/lang/Object;Ljava/lang/Object;)V,,2,,1
preparePool(Ljava/lang/Object;Z)V,2,2,,35
removeAbandoned()V,,2,,
returnObject(Ljava/lang/Object;)V,1,24,,226
returnObject(Ljava/lang/Object;Ljava/lang/Object;)V,,28,,170
returned(Ljava/lang/Object;)V,,,,1
reuseCapacity()V,,4,,13
reuseCapacity()Z,,,,1
run()V,,24,,131
setFactory(Lorg/apache/commons/pool/KeyedPoolableObjectFactory;)V,,4,,22
setFactory(Lorg/apache/commons/pool2/KeyedPoolableObjectFactory;)V,,4,,2
setFactory(Lorg/apache/commons/pool2/PoolableObjectFactory;)V,,2,,
toString()Ljava/lang/String;,,,,34
validateObject(Ljava/lang/Object;)Z,,2,,1
validateObject(Ljava/lang/Object;Ljava/lang/Object;)Z,,2,,1
