vtype,average,median,density
BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,308.0,308.0,0.2857142857142857
CO_ABSTRACT_SELF,104.0,104.0,0.14285714285714285
DC_DOUBLECHECK,0.0,0.0,0.5
DE_MIGHT_IGNORE,259.80808080808083,75.0,0.10334029227557412
DM_DEFAULT_ENCODING,4.0,4.0,0.10526315789473684
DM_NUMBER_CTOR,111.0,111.0,0.23529411764705882
EI_EXPOSE_REP2,0.0,0.0,0.4
EQ_COMPARETO_USE_OBJECT_EQUALS,102.0,102.0,0.0625
ICAST_IDIV_CAST_TO_DOUBLE,38.0,38.0,0.5
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,132.0,132.0,0.5
IS2_INCONSISTENT_SYNC,25.6,6.0,0.28776978417266186
JLM_JSR166_UTILCONCURRENT_MONITORENTER,1.0,1.0,0.5
NN_NAKED_NOTIFY,20.75,17.0,0.08888888888888889
NO_NOTIFY_NOT_NOTIFYALL,20.75,17.0,0.08888888888888889
NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,308.0,308.0,0.2857142857142857
NP_LOAD_OF_KNOWN_NULL_VALUE,124.33333333333333,186.0,0.42857142857142855
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,234.33333333333334,214.0,0.42857142857142855
REC_CATCH_EXCEPTION,182.5,120.0,0.1951219512195122
RI_REDUNDANT_INTERFACES,41.46153846153846,17.0,0.0959409594095941
RV_RETURN_VALUE_IGNORED,142.0,142.0,0.4
SE_INNER_CLASS,115.0,115.0,0.2
SE_NO_SERIALVERSIONID,1115.0,1295.0,0.14285714285714285
SIC_INNER_SHOULD_BE_STATIC_ANON,724.5,872.5,0.4444444444444444
UCF_USELESS_CONTROL_FLOW,467.3125,225.0,0.25806451612903225
UC_USELESS_CONDITION,124.66666666666667,17.0,0.42857142857142855
UG_SYNC_SET_UNSYNC_GET,11.0,11.0,0.5
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,268.0,296.0,0.3157894736842105
VO_VOLATILE_INCREMENT,1.0,1.0,0.2
WMI_WRONG_MAP_ITERATOR,464.4782608695652,140.0,0.13411078717201166
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,0.0
BC_UNCONFIRMED_CAST,0.0
SE_BAD_FIELD,0.0
SI_INSTANCE_BEFORE_FINALS_ASSIGNED,0.0
SE_TRANSIENT_FIELD_NOT_RESTORED,0.0
SIC_INNER_SHOULD_BE_STATIC_NEEDS_THIS,0.0
CN_IDIOM,0.0
