vtype,average,above_average,below_average
all,219.93286219081273,124,442
BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,308.0,2,0
CO_ABSTRACT_SELF,104.0,2,2
DC_DOUBLECHECK,0.0,2,0
DE_MIGHT_IGNORE,259.80808080808083,42,156
DM_DEFAULT_ENCODING,4.0,2,0
DM_NUMBER_CTOR,111.0,4,4
EI_EXPOSE_REP2,0.0,2,0
EQ_COMPARETO_USE_OBJECT_EQUALS,102.0,2,2
ICAST_IDIV_CAST_TO_DOUBLE,38.0,4,0
ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,132.0,2,0
IS2_INCONSISTENT_SYNC,25.6,22,58
JLM_JSR166_UTILCONCURRENT_MONITORENTER,1.0,4,0
NN_NAKED_NOTIFY,20.75,2,6
NO_NOTIFY_NOT_NOTIFYALL,20.75,2,6
NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,308.0,2,0
NP_LOAD_OF_KNOWN_NULL_VALUE,124.33333333333333,4,2
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,234.33333333333334,2,4
REC_CATCH_EXCEPTION,182.5,12,12
RI_REDUNDANT_INTERFACES,41.46153846153846,10,16
RV_RETURN_VALUE_IGNORED,142.0,58,0
SE_INNER_CLASS,115.0,2,0
SE_NO_SERIALVERSIONID,1115.0,4,2
SIC_INNER_SHOULD_BE_STATIC_ANON,724.5,6,2
UCF_USELESS_CONTROL_FLOW,467.3125,8,24
UC_USELESS_CONDITION,124.66666666666667,2,4
UG_SYNC_SET_UNSYNC_GET,11.0,2,2
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,268.0,4,2
VO_VOLATILE_INCREMENT,1.0,6,0
WMI_WRONG_MAP_ITERATOR,464.4782608695652,18,28
