vtype,average,above_average,below_average
all,996.1947194719472,1102,1625
BC_EQUALS_METHOD_SHOULD_WORK_FOR_ALL_OBJECTS,38.666666666666664,1,2
BC_UNCONFIRMED_CAST,300.6363636363636,6,5
CI_CONFUSED_INHERITANCE,0.0,1,0
CN_IDIOM,3224.0,2,0
CO_ABSTRACT_SELF,545.5714285714286,8,13
DE_MIGHT_IGNORE,1095.4677835051546,677,875
DM_DEFAULT_ENCODING,917.2666666666667,5,10
DM_NUMBER_CTOR,23.2,2,18
EI_EXPOSE_REP2,0.0,1,0
EQ_COMPARETO_USE_OBJECT_EQUALS,946.421052631579,22,35
EQ_DOESNT_OVERRIDE_EQUALS,66.0,1,0
IS2_INCONSISTENT_SYNC,792.9256198347107,49,72
NN_NAKED_NOTIFY,588.5,32,42
NO_NOTIFY_NOT_NOTIFYALL,588.5,32,42
NP_EQUALS_SHOULD_HANDLE_NULL_ARGUMENT,38.666666666666664,1,2
NP_LOAD_OF_KNOWN_NULL_VALUE,111.75,2,2
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,87.0,2,2
REC_CATCH_EXCEPTION,1141.935064935065,31,46
RI_REDUNDANT_INTERFACES,1326.8035714285713,103,121
RV_RETURN_VALUE_IGNORED,4.5,29,29
SE_BAD_FIELD,3224.0,5,0
SE_INNER_CLASS,272.0,1,6
SE_NO_SERIALVERSIONID,1051.2,15,15
SE_TRANSIENT_FIELD_NOT_RESTORED,3224.0,5,0
SIC_INNER_SHOULD_BE_STATIC_ANON,768.0,1,1
SIC_INNER_SHOULD_BE_STATIC_NEEDS_THIS,3224.0,1,0
SI_INSTANCE_BEFORE_FINALS_ASSIGNED,3224.0,4,0
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,3224.0,4,0
UCF_USELESS_CONTROL_FLOW,806.1746031746031,20,43
UC_USELESS_CONDITION,1613.5,1,1
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,385.7142857142857,4,3
VO_VOLATILE_INCREMENT,891.6111111111111,5,13
WMI_WRONG_MAP_ITERATOR,736.5234375,102,154
