categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,mark-vtype
BAD_PRACTICE,DE_MIGHT_IGNORE,3,19,commons-pool,f5f7c7985da6aca648b330f071bff9220cc6c6b7,efbed848bdd699d69b05eb66b9c632f996166796,src/java/org/apache/commons/pool2/PoolUtils.java,927,927,722dfc67da6e621e17579841bd5eb7beb48f69cb,src/java/org/apache/commons/pool2/PoolUtils.java,invalidateObject(Ljava/lang/Object;Ljava/lang/Object;)V,NO_FIELD,fixed,18,TP
BAD_PRACTICE,DE_MIGHT_IGNORE,3,19,commons-pool,52c204075f41c7fe3a56da4018e277b23f3119dd,257bb4bb10e85205fd0d5b694e1b4dd0fea7bc07,src/java/org/apache/commons/pool2/PoolUtils.java,1077,1077,fae140e9adb072a8d04447dfb2ede845d4ee760b,src/java/org/apache/commons/pool2/PoolUtils.java,invalidateObject(Ljava/lang/Object;)V,NO_FIELD,fixed,77,TP
Multithreaded correctness,IS2_INCONSISTENT_SYNC,3,20,commons-pool,a19fdf3adc2cc90eed11f9d14578e99eca8fc13a,58136246b29d73073da55af49a999699db8d6410,src/java/org/apache/commons/pool/impl/StackKeyedObjectPool.java,301,301,3419b0dee3f784d4a58ea787445df8e7586eb481,src/java/org/apache/commons/pool/impl/StackKeyedObjectPool.java,NO_METHOD,_totIdle,fixed,304,TP
DODGY_CODE,ICAST_IDIV_CAST_TO_DOUBLE,2,17,commons-pool,ca839f3c8d85ba74f7e741d77de5dc1253bcd910,7f173c51d3b52acc4f7c6b2b9ffdbb6817f43a9b,src/java/org/apache/commons/pool2/impl/GenericKeyedObjectPool.java,1735,1735,487c238520f910e9094d868734f8ded635cacae7,src/java/org/apache/commons/pool2/impl/GenericKeyedObjectPool.java,getMeanFromStatsCache(Ljava/util/LinkedList;)J,NO_FIELD,fixed,38,TP
Multithreaded correctness,UG_SYNC_SET_UNSYNC_GET,2,14,commons-pool,bea3f6dbd05126b0b0f96e1a6b2d122a1a19f50e,1d9841352d62965b217bd051203f4da0cb6916d9,src/java/org/apache/commons/pool/impl/SoftReferenceObjectPool.java,347,347,565b811cfb42e90af9c1435d0437aedc3946b30c,src/java/org/apache/commons/pool/impl/SoftReferenceObjectPool.java,getFactory()Lorg/apache/commons/pool/PoolableObjectFactory;,NO_FIELD,fixed,8,TP
BAD_PRACTICE,DE_MIGHT_IGNORE,3,19,commons-pool,52c204075f41c7fe3a56da4018e277b23f3119dd,257bb4bb10e85205fd0d5b694e1b4dd0fea7bc07,src/java/org/apache/commons/pool2/PoolUtils.java,1217,1217,fae140e9adb072a8d04447dfb2ede845d4ee760b,src/java/org/apache/commons/pool2/PoolUtils.java,invalidateObject(Ljava/lang/Object;Ljava/lang/Object;)V,NO_FIELD,fixed,77,TP
BAD_PRACTICE,DE_MIGHT_IGNORE,3,19,commons-pool,aaa1f86d0fced3054d9f4d40cb65e1a6f2be678e,6d9eadeb731a8fb7fb5034226234d79ece33c836,src/java/org/apache/commons/pool2/impl/GenericObjectPool.java,1694,1694,2314139866be7446f94de4129cb4703572d5ac15,src/java/org/apache/commons/pool2/impl/GenericObjectPool.java,addObject()V,NO_FIELD,fixed,4,TP
CORRECTNESS,RV_RETURN_VALUE_IGNORED,2,5,commons-pool,4f9912974fff05b614e6c81bb4d862fcfb552c3d,a50b8505d05e8fa5c0434ef263cba2de5920a195,src/main/java/org/apache/commons/pool2/PoolUtils.java,1173,1173,4e23d54aa18c5ec234716b1e7526431a89ee3a94,src/main/java/org/apache/commons/pool2/PoolUtils.java,passivateObject(Ljava/lang/Object;)V,NO_FIELD,fixed,142,TP
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,2,18,commons-pool,a6ace71ffb7d3aece837c29befadef409604ef39,81e055707a4ef6da311fd88a07b891bcd8a576ed,src/java/org/apache/commons/pool/impl/GenericKeyedObjectPool.java,1404,1404,e8fcb365f69bc56fa9b1b08599cc776d95b712c0,src/java/org/apache/commons/pool/impl/GenericKeyedObjectPool.java,clearOldest()V,_poolMap,fixed,953,TP
PERFORMANCE,DM_NUMBER_CTOR,2,18,commons-pool,e8fcb365f69bc56fa9b1b08599cc776d95b712c0,a71f1f6e8cd608641a01ae2b6ffeb89e1c36f16d,src/java/org/apache/commons/pool/impl/StackKeyedObjectPool.java,543,543,ed62d59f0ad644838c90991b99f7f09ab13f9530,src/java/org/apache/commons/pool/impl/StackKeyedObjectPool.java,decrementActiveCount(Ljava/lang/Object;)V,NO_FIELD,fixed,222,TP
PERFORMANCE,DM_NUMBER_CTOR,2,18,commons-pool,52c204075f41c7fe3a56da4018e277b23f3119dd,d6169f0b8bd947fde2533a6ab106345913eb603b,src/java/org/apache/commons/pool/impl/StackKeyedObjectPool.java,438,438,8559a2587a3ac288618166b576f93de94d587dcc,src/java/org/apache/commons/pool/impl/StackKeyedObjectPool.java,incrementActiveCount(Ljava/lang/Object;)V,NO_FIELD,fixed,0,TP
DODGY_CODE,REC_CATCH_EXCEPTION,3,20,commons-pool,f337409059e168a2fdecb8e4531a2f1358e32a10,52ae00d4ec5eda73564e349f52957d8045d8356c,src/main/java/org/apache/commons/pool2/PoolUtils.java,702,702,7a203b4975d09f38a738e53d163ae7ac52ea2b01,src/main/java/org/apache/commons/pool2/PoolUtils.java,run()V,NO_FIELD,fixed,189,TP
Multithreaded correctness,IS2_INCONSISTENT_SYNC,2,17,commons-pool,89f9a68b9cfc8d03e9e363ad1d0edb7636445ef9,2a218f35420fe75636b317308490f155ff6be9ee,src/java/org/apache/commons/pool/impl/GenericObjectPool.java,946,946,878ba5ddc25f45a81e7443f1541e84b44b1fd3e1,src/java/org/apache/commons/pool/impl/GenericObjectPool.java,NO_METHOD,_whenExhaustedAction,fixed,1,TP
BAD_PRACTICE,DE_MIGHT_IGNORE,3,19,commons-pool,f5f7c7985da6aca648b330f071bff9220cc6c6b7,efbed848bdd699d69b05eb66b9c632f996166796,src/java/org/apache/commons/pool2/PoolUtils.java,804,804,722dfc67da6e621e17579841bd5eb7beb48f69cb,src/java/org/apache/commons/pool2/PoolUtils.java,invalidateObject(Ljava/lang/Object;)V,NO_FIELD,fixed,18,TP
