,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
NO_FIELD,1146.0,0.0,290.1489361702128,77.0,44.0,982.0
analyzer,nan,nan,nan,nan,nan,12.0
appendOutput,32.0,32.0,32.0,32.0,1.0,2.0
archiverManager,276.0,276.0,276.0,276.0,1.0,31.0
artifact,352.0,352.0,352.0,352.0,1.0,11.0
artifactItems,nan,nan,nan,nan,nan,12.0
artifactRepositoryManager,45.0,45.0,45.0,45.0,1.0,6.0
attach,nan,nan,nan,nan,nan,5.0
baseDir,nan,nan,nan,nan,nan,2.0
context,444.0,444.0,444.0,444.0,1.0,26.0
cpFile,nan,nan,nan,nan,nan,15.0
excludeTransitive,17.0,17.0,17.0,17.0,2.0,28.0
factory,6.0,0.0,4.0,6.0,4.0,23.0
fileMappers,nan,nan,nan,nan,nan,126.0
groupId,17.0,17.0,17.0,17.0,2.0,9.0
ignorePermissions,nan,nan,nan,nan,nan,7.0
includes,51.0,51.0,51.0,51.0,1.0,2.0
installer,nan,nan,nan,nan,nan,12.0
markersDirectory,0.0,0.0,0.0,0.0,0.0,8.0
mavenProjectBuilder,6.0,6.0,6.0,6.0,1.0,36.0
outputAbsoluteArtifactFilename,nan,nan,nan,nan,nan,13.0
outputDirectory,27.0,27.0,27.0,27.0,1.0,41.0
outputFile,nan,nan,nan,nan,nan,6.0
outputFilterFile,nan,nan,nan,nan,nan,5.0
outputScope,nan,nan,nan,nan,nan,10.0
overWriteReleases,nan,nan,nan,nan,nan,7.0
overWriteSnapshots,nan,nan,nan,nan,nan,6.0
packaging,nan,nan,nan,nan,nan,44.0
prefix,nan,nan,nan,nan,nan,5.0
prependGroupId,25.0,25.0,25.0,25.0,1.0,nan
project,45.0,5.0,36.166666666666664,45.0,6.0,81.0
projectHelper,nan,nan,nan,nan,nan,10.0
reactorProjects,6.0,6.0,6.0,6.0,1.0,28.0
regenerateFile,nan,nan,nan,nan,nan,5.0
remotePluginRepositories,8.0,8.0,8.0,8.0,2.0,19.0
repositoryFactory,nan,nan,nan,nan,nan,8.0
repositoryLayouts,nan,nan,nan,nan,nan,6.0
resolver,0.0,0.0,0.0,0.0,0.0,27.0
results,nan,nan,nan,nan,nan,21.0
rti,nan,nan,nan,nan,nan,2.0
scriptableFlag,nan,nan,nan,nan,nan,1.0
silent,nan,nan,nan,nan,nan,18.0
siteRenderer,nan,nan,nan,nan,nan,3.0
stripClassifier,25.0,25.0,25.0,25.0,1.0,nan
useBaseVersion,25.0,25.0,25.0,25.0,1.0,nan
useJvmChmod,nan,nan,nan,nan,nan,86.0
useMarkers,nan,nan,nan,nan,nan,4.0
useSubDirectoryPerArtifact,nan,nan,nan,nan,nan,3.0
useSubDirectoryPerType,27.0,27.0,27.0,27.0,1.0,4.0
