file,unknown,fixed,disappear,unfixed
src/main/java/org/apache/maven/plugin/dependency/AbstractAnalyzeMojo.java,,,,9
src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyFilterMojo.java,,,,1
src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,8,5,,179
src/main/java/org/apache/maven/plugin/dependency/AbstractFromDependenciesMojo.java,14,2,,17
src/main/java/org/apache/maven/plugin/dependency/AbstractResolveMojo.java,3,2,,41
src/main/java/org/apache/maven/plugin/dependency/AnalyzeDepMgt.java,,1,,23
src/main/java/org/apache/maven/plugin/dependency/AnalyzeDuplicateMojo.java,,4,,8
src/main/java/org/apache/maven/plugin/dependency/AnalyzeMojo.java,,1,,21
src/main/java/org/apache/maven/plugin/dependency/AnalyzeReportMojo.java,,,,21
src/main/java/org/apache/maven/plugin/dependency/BuildClasspathMojo.java,,4,,159
src/main/java/org/apache/maven/plugin/dependency/CopyDependenciesMojo.java,,,,26
src/main/java/org/apache/maven/plugin/dependency/GetMojo.java,,1,,
src/main/java/org/apache/maven/plugin/dependency/PropertiesMojo.java,,,,4
src/main/java/org/apache/maven/plugin/dependency/PurgeLocalRepositoryMojo.java,,1,,82
src/main/java/org/apache/maven/plugin/dependency/TreeMojo.java,,1,,12
src/main/java/org/apache/maven/plugin/dependency/analyze/AbstractAnalyzeMojo.java,,,,3
src/main/java/org/apache/maven/plugin/dependency/analyze/AnalyzeDepMgt.java,,,,3
src/main/java/org/apache/maven/plugin/dependency/fromConfiguration/AbstractFromConfigurationMojo.java,1,3,,80
src/main/java/org/apache/maven/plugin/dependency/fromConfiguration/CopyMojo.java,,,,6
src/main/java/org/apache/maven/plugin/dependency/fromConfiguration/UnpackMojo.java,,2,,6
src/main/java/org/apache/maven/plugin/dependency/fromDependencies/AbstractFromDependenciesMojo.java,2,,,3
src/main/java/org/apache/maven/plugin/dependency/fromDependencies/BuildClasspathMojo.java,,3,,22
src/main/java/org/apache/maven/plugin/dependency/fromDependencies/CopyDependenciesMojo.java,,,,6
src/main/java/org/apache/maven/plugin/dependency/resolvers/AbstractResolveMojo.java,,,,6
src/main/java/org/apache/maven/plugin/dependency/resolvers/GoOfflineMojo.java,,,,1
src/main/java/org/apache/maven/plugin/dependency/resolvers/ListRepositoriesMojo.java,,1,,1
src/main/java/org/apache/maven/plugin/dependency/resolvers/ResolveDependenciesMojo.java,,,,10
src/main/java/org/apache/maven/plugin/dependency/resolvers/ResolveDependencySourcesMojo.java,,4,,24
src/main/java/org/apache/maven/plugin/dependency/resolvers/ResolvePluginsMojo.java,,3,,65
src/main/java/org/apache/maven/plugin/dependency/tree/TreeMojo.java,,,,3
src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java,,,,2
src/main/java/org/apache/maven/plugin/dependency/utils/DependencyUtil.java,,8,,42
src/main/java/org/apache/maven/plugin/dependency/utils/filters/FilterArtifacts.java,,,,4
src/main/java/org/apache/maven/plugin/dependency/utils/markers/DefaultFileMarkerHandler.java,,2,,70
src/main/java/org/apache/maven/plugin/dependency/utils/markers/SourcesFileMarkerHandler.java,,,,87
src/main/java/org/apache/maven/plugin/dependency/utils/translators/ClassifierTypeTranslator.java,,6,,30
src/main/java/org/apache/maven/plugins/dependency/AbstractDependencyMojo.java,,1,,92
src/main/java/org/apache/maven/plugins/dependency/GetMojo.java,,,,23
src/main/java/org/apache/maven/plugins/dependency/ListClassesMojo.java,,1,,32
src/main/java/org/apache/maven/plugins/dependency/PurgeLocalRepositoryMojo.java,,4,,2
src/main/java/org/apache/maven/plugins/dependency/analyze/AbstractAnalyzeMojo.java,,1,,14
src/main/java/org/apache/maven/plugins/dependency/analyze/AnalyzeDepMgt.java,,,,23
src/main/java/org/apache/maven/plugins/dependency/fromConfiguration/AbstractFromConfigurationMojo.java,,,,23
src/main/java/org/apache/maven/plugins/dependency/fromConfiguration/ArtifactItem.java,,,,42
src/main/java/org/apache/maven/plugins/dependency/fromConfiguration/CopyMojo.java,,1,,23
src/main/java/org/apache/maven/plugins/dependency/fromConfiguration/UnpackMojo.java,,,,42
src/main/java/org/apache/maven/plugins/dependency/fromDependencies/BuildClasspathMojo.java,,6,,75
src/main/java/org/apache/maven/plugins/dependency/fromDependencies/CopyDependenciesMojo.java,,,,23
src/main/java/org/apache/maven/plugins/dependency/fromDependencies/UnpackDependenciesMojo.java,,,,42
src/main/java/org/apache/maven/plugins/dependency/resolvers/AbstractResolveMojo.java,,,,23
src/main/java/org/apache/maven/plugins/dependency/resolvers/ListRepositoriesMojo.java,,,,1
src/main/java/org/apache/maven/plugins/dependency/resolvers/ResolveDependenciesMojo.java,,,,42
src/main/java/org/apache/maven/plugins/dependency/resolvers/ResolvePluginsMojo.java,,5,,46
src/main/java/org/apache/maven/plugins/dependency/tree/TreeMojo.java,,2,,12
src/main/java/org/apache/maven/plugins/dependency/tree/VerboseDependencyGraphBuilder.java,,2,,10
src/main/java/org/apache/maven/plugins/dependency/utils/DependencyStatusSets.java,,1,,2
src/main/java/org/apache/maven/plugins/dependency/utils/DependencyUtil.java,,3,,26
src/main/java/org/apache/maven/plugins/dependency/utils/markers/DefaultFileMarkerHandler.java,,1,,47
src/main/java/org/apache/maven/plugins/dependency/utils/markers/SourcesFileMarkerHandler.java,,1,,47
