method,unknown,fixed,disappear,unfixed
<init>()V,,,,4
NO_METHOD,11,26,,504
applyDependencyManagementDfs(Ljava/util/Map;Lorg/eclipse/aether/graph/DependencyNode;)V,,2,,10
attachFile(Ljava/lang/String;)V,,,,6
buildTree(Lorg/apache/maven/shared/dependency/graph/DependencyNode;Lorg/eclipse/aether/graph/DependencyNode;)Lorg/apache/maven/shared/dependency/graph/DependencyNode;,,1,,10
checkDependencies()Z,,,,9
checkDependencyManagement()Z,,1,,47
compare(Ljava/lang/Object;Ljava/lang/Object;)I,,2,,16
containsVersion(Lorg/apache/maven/artifact/versioning/VersionRange;Lorg/apache/maven/artifact/versioning/ArtifactVersion;)Z,,1,,14
createManagedVersionMap(Lorg/apache/maven/artifact/factory/ArtifactFactory;Ljava/lang/String;Lorg/apache/maven/model/DependencyManagement;)Ljava/util/Map;,,,,5
createProjectDependencyAnalyzer()Lorg/apache/maven/shared/dependency/analyzer/ProjectDependencyAnalyzer;,,1,,26
doExecute()V,3,1,,67
execute()V,7,5,,59
executeReport(Ljava/util/Locale;)V,,,,6
fillMissingArtifactVersion(Lorg/apache/maven/plugin/dependency/fromConfiguration/ArtifactItem;)V,,1,,1
findDeleteTarget(Lorg/apache/maven/artifact/Artifact;)Ljava/io/File;,,1,,19
getArtifact(Lorg/apache/maven/plugin/dependency/fromConfiguration/ArtifactItem;)Lorg/apache/maven/artifact/Artifact;,6,2,,16
getArtifactItems()Ljava/util/ArrayList;,,,,12
getDependencySets(Z)Lorg/apache/maven/plugin/dependency/utils/DependencyStatusSets;,,,,1
getFileMappers()[Lorg/codehaus/plexus/components/io/filemappers/FileMapper;,,,,63
getLocal()Lorg/apache/maven/artifact/repository/ArtifactRepository;,,1,,3
getMismatch(Ljava/util/Map;Ljava/util/Set;)Ljava/util/Map;,,,,1
getOutput(ZZZ)Ljava/lang/String;,,,,21
getOutputDirectory()Ljava/lang/String;,,,,3
getProcessedArtifactItems(Lorg/apache/maven/plugin/dependency/fromConfiguration/ProcessArtifactItemsRequest;)Ljava/util/List;,,,,5
getProcessedArtifactItems(Lorg/apache/maven/plugins/dependency/fromConfiguration/ProcessArtifactItemsRequest;)Ljava/util/List;,,,,23
getProcessedArtifactItems(Z)Ljava/util/ArrayList;,,,,11
getProcessedArtifactItems(Z)Ljava/util/List;,,,,7
installArtifact(Lorg/apache/maven/artifact/Artifact;Lorg/apache/maven/artifact/repository/ArtifactRepository;)V,,,,4
installBaseSnapshot(Lorg/apache/maven/artifact/Artifact;Lorg/apache/maven/artifact/repository/ArtifactRepository;)V,,,,4
isUpdToDate(Ljava/lang/String;)Z,,3,,18
log(Ljava/util/Set;Lorg/apache/maven/plugin/logging/Log;)V,,,,4
logResults(Ljava/util/Set;Ljava/util/Set;Ljava/util/HashSet;ZLorg/apache/maven/plugin/logging/Log;)V,,,,4
logStatus(Lorg/apache/maven/plugin/logging/Log;Z)V,,,,2
makeBuildingRequest()Lorg/apache/maven/project/ProjectBuildingRequest;,,1,,11
