categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
DODGY_CODE,UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,2,17,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,-1,-1,,,NO_METHOD,reactorProjects,unfixed,Public Abstract Class,org.apache.maven.plugin.dependency.AbstractDependencyMojo,1.0,1.0,1.0,1.0,12.0,0.0,7.0,4.0,1.0,1.0,1.0,2.0,-1,0.0,0.0,-1,-1,-1,20.0,12.0,20.0,20.0,0.0,1.0,3.0,16.0,-1,366.0,45.0,164.0,41.0,58.0,157.0,-1,-1,-1,53.0,82.0,37.0,45.0,-1,-1,-1,-1,-1,7.0,7.0,8.0,1.0,-1,2.0,3.0,-1,91.0,88.0,0.96,30.0,30.0,31.0,20.0
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,20,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,186,186,,,NO_METHOD,outputAbsoluteArtifactFilename,unfixed,Public Abstract Class,org.apache.maven.plugin.dependency.AbstractDependencyMojo,1.0,1.0,1.0,1.0,12.0,0.0,7.0,4.0,1.0,1.0,1.0,2.0,-1,0.0,0.0,-1,-1,-1,20.0,12.0,20.0,20.0,0.0,1.0,3.0,16.0,-1,366.0,45.0,164.0,41.0,58.0,157.0,-1,-1,-1,53.0,82.0,37.0,45.0,-1,-1,-1,-1,-1,7.0,7.0,8.0,1.0,-1,2.0,3.0,-1,91.0,88.0,0.96,30.0,30.0,31.0,20.0
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,2,17,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,313,313,,,NO_METHOD,project,unfixed,Public Abstract Class,org.apache.maven.plugin.dependency.AbstractDependencyMojo,1.0,1.0,1.0,1.0,12.0,0.0,7.0,4.0,1.0,1.0,1.0,2.0,-1,0.0,0.0,-1,-1,-1,20.0,12.0,20.0,20.0,0.0,1.0,3.0,16.0,-1,366.0,45.0,164.0,41.0,58.0,157.0,-1,-1,-1,53.0,82.0,37.0,45.0,-1,-1,-1,-1,-1,7.0,7.0,8.0,1.0,-1,2.0,3.0,-1,91.0,88.0,0.96,30.0,30.0,31.0,20.0
BAD_PRACTICE,DE_MIGHT_IGNORE,3,19,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,285,285,,,silenceUnarchiver(Lorg/codehaus/plexus/archiver/UnArchiver;)V,NO_FIELD,unfixed,Private Method,org.apache.maven.plugin.dependency.AbstractDependencyMojo.silenceUnarchiver,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.0,19.0,2.0,12.0,2.0,5.0,5.0,5.0,2.0,0.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,-1,-1,-1,-1,0.0,-1,1.0,0.0,-1,-1,0.42,2.0,2.0,2.0,1.0
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,20,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,151,151,,,NO_METHOD,silent,unfixed,Public Abstract Class,org.apache.maven.plugin.dependency.AbstractDependencyMojo,1.0,1.0,1.0,1.0,12.0,0.0,7.0,4.0,1.0,1.0,1.0,2.0,-1,0.0,0.0,-1,-1,-1,20.0,12.0,20.0,20.0,0.0,1.0,3.0,16.0,-1,366.0,45.0,164.0,41.0,58.0,157.0,-1,-1,-1,53.0,82.0,37.0,45.0,-1,-1,-1,-1,-1,7.0,7.0,8.0,1.0,-1,2.0,3.0,-1,91.0,88.0,0.96,30.0,30.0,31.0,20.0
DODGY_CODE,REC_CATCH_EXCEPTION,3,20,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,285,285,,,silenceUnarchiver(Lorg/codehaus/plexus/archiver/UnArchiver;)V,NO_FIELD,unfixed,Private Method,org.apache.maven.plugin.dependency.AbstractDependencyMojo.silenceUnarchiver,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.0,19.0,2.0,12.0,2.0,5.0,5.0,5.0,2.0,0.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,-1,-1,-1,-1,0.0,-1,1.0,0.0,-1,-1,0.42,2.0,2.0,2.0,1.0
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,2,16,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,224,224,,,unpack(Ljava/io/File;Ljava/io/File;Ljava/lang/String;Ljava/lang/String;)V,NO_FIELD,unfixed,Protected Method,org.apache.maven.plugin.dependency.AbstractDependencyMojo.unpack,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11.0,69.0,10.0,43.0,4.0,24.0,16.0,16.0,12.0,1.0,15.0,21.0,3.0,18.0,7.0,7.0,8.0,1.0,3.0,-1,-1,-1,-1,0.0,-1,3.0,0.0,-1,-1,0.37,7.0,7.0,8.0,1.0
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,maven-dependency-plugin,d6b4b575fb251c418f5f6438419648b4690191de,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractFromDependenciesMojo.java,99,99,,,execute()V,outputDirectory,unfixed,Public Method,org.apache.maven.plugin.dependency.AbstractAnalyzeMojo.execute,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3.0,22.0,3.0,19.0,3.0,9.0,0.0,6.0,4.0,1.0,6.0,10.0,2.0,8.0,4.0,4.0,6.0,3.0,2.0,-1,-1,-1,-1,2.0,-1,1.0,2.0,-1,-1,0.0,4.0,4.0,6.0,3.0
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,2,17,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractResolveMojo.java,96,96,,,NO_METHOD,outputFile,unfixed,Public Abstract Class,org.apache.maven.plugin.dependency.AbstractResolveMojo,1.0,1.0,1.0,1.0,24.0,1.0,10.0,12.0,1.0,0.0,0.0,4.0,-1,0.0,0.0,-1,-1,-1,2.0,2.0,2.0,29.0,0.0,0.0,2.0,0.0,-1,75.0,4.0,27.0,15.0,10.0,44.0,-1,-1,-1,11.0,14.0,10.0,4.0,-1,-1,-1,-1,-1,2.0,2.0,2.0,1.0,-1,4.0,1.0,-1,75.0,75.0,1.63,3.0,3.0,3.0,2.0
DODGY_CODE,NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,17,maven-dependency-plugin,dd1f45c161553b92a245aa52cf2839a3ffb7bb74,d6b4b575fb251c418f5f6438419648b4690191de,src/main/java/org/apache/maven/plugin/dependency/AbstractResolveMojo.java,105,105,,,resolveArtifactDependencies(Lorg/apache/maven/artifact/Artifact;)Ljava/util/Set;,mavenProjectBuilder,unfixed,Protected Method,org.apache.maven.plugin.dependency.AbstractResolveMojo.resolveArtifactDependencies,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6.0,24.0,2.0,9.0,6.0,4.0,13.0,7.0,1.0,0.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,-1,-1,-1,-1,0.0,-1,0.0,0.0,-1,-1,1.44,1.0,1.0,1.0,1.0
