vtype,average,median,density
DLS_DEAD_LOCAL_STORE,71.5,71.5,0.058823529411764705
DM_CONVERT_CASE,28.0,28.0,0.5
DM_DEFAULT_ENCODING,437.0,120.0,0.09183673469387756
ES_COMPARING_PARAMETER_STRING_WITH_EQ,112.0,112.0,0.05263157894736842
MF_CLASS_MASKS_FIELD,6.0,6.0,0.045454545454545456
NP_NULL_ON_SOME_PATH,1113.0,1113.0,0.0625
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,79.0,79.0,0.047619047619047616
NP_UNWRITTEN_FIELD,25.5,25.5,0.08
NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,40.666666666666664,45.0,0.07317073170731707
OBL_UNSATISFIED_OBLIGATION,45.0,45.0,0.3333333333333333
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,173.0,154.0,0.07272727272727272
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,0.5,0.5,0.18181818181818182
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,109.45454545454545,8.0,0.02217741935483871
RV_RETURN_VALUE_IGNORED_INFERRED,77.0,77.0,0.14285714285714285
SIC_INNER_SHOULD_BE_STATIC,548.4,807.0,0.10204081632653061
SS_SHOULD_BE_STATIC,25.0,25.0,0.5
UC_USELESS_CONDITION,112.0,112.0,0.5
UC_USELESS_OBJECT,714.2,928.0,0.11904761904761904
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,102.85714285714286,0.0,0.03723404255319149
UWF_UNWRITTEN_FIELD,15.153846153846153,8.0,0.08024691358024691
UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,23.0,27.0,0.03361344537815126
WMI_WRONG_MAP_ITERATOR,32.0,32.0,0.16666666666666666
UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,0.0
EI_EXPOSE_REP2,0.0
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,0.0
UUF_UNUSED_FIELD,0.0
SIC_INNER_SHOULD_BE_STATIC_ANON,0.0
UPM_UNCALLED_PRIVATE_METHOD,0.0
NP_LOAD_OF_KNOWN_NULL_VALUE,0.0
UR_UNINIT_READ,0.0
DE_MIGHT_IGNORE,0.0
REC_CATCH_EXCEPTION,0.0
SBSC_USE_STRINGBUFFER_CONCATENATION,0.0
URF_UNREAD_FIELD,0.0
EI_EXPOSE_REP,0.0
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,0.0
NP_NULL_PARAM_DEREF,0.0
