,,fixed max,fixed min,fixed average,fixed median,fixed-cnt,unfixed max,unfixed min,unfixed average,unfixed median,unfixed-cnt
all category,all vtype,1146,0,184.3734939759036,32.0,73,1182,0,217.7964796479648,80.0,1649
BAD_PRACTICE,DE_MIGHT_IGNORE,nan,nan,nan,nan,nan,1182.0,0.0,283.4651162790698,276.0,40.0
BAD_PRACTICE,ES_COMPARING_PARAMETER_STRING_WITH_EQ,112.0,112.0,112.0,112.0,1.0,372.0,0.0,60.05882352941177,18.0,14.0
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,1146.0,0.0,109.45454545454545,8.0,9.0,1182.0,0.0,218.7136842105263,80.0,445.0
BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,nan,nan,nan,nan,nan,1182.0,0.0,283.4651162790698,276.0,40.0
CORRECTNESS,MF_CLASS_MASKS_FIELD,6.0,6.0,6.0,6.0,1.0,364.0,0.0,147.4,54.0,19.0
CORRECTNESS,NP_NULL_ON_SOME_PATH,1113.0,1113.0,1113.0,1113.0,1.0,364.0,0.0,80.21428571428571,8.5,12.0
CORRECTNESS,NP_NULL_PARAM_DEREF,nan,nan,nan,nan,nan,1182.0,0.0,283.4651162790698,276.0,40.0
CORRECTNESS,NP_UNWRITTEN_FIELD,45.0,6.0,25.5,25.5,4.0,372.0,0.0,99.52380952380952,37.0,32.0
CORRECTNESS,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,1.0,0.0,0.5,0.5,1.0,237.0,0.0,45.857142857142854,5.0,5.0
CORRECTNESS,UR_UNINIT_READ,nan,nan,nan,nan,nan,102.0,6.0,54.0,54.0,4.0
CORRECTNESS,UWF_UNWRITTEN_FIELD,51.0,0.0,15.153846153846153,8.0,11.0,372.0,0.0,78.11029411764706,33.0,115.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE,111.0,32.0,71.5,71.5,2.0,372.0,0.0,57.9,15.5,26.0
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,79.0,79.0,79.0,79.0,1.0,372.0,0.0,54.31578947368421,18.0,16.0
DODGY_CODE,NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,45.0,32.0,40.666666666666664,45.0,3.0,372.0,0.0,111.51428571428572,40.0,28.0
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,352.0,32.0,173.0,154.0,4.0,1182.0,0.0,301.63829787234044,276.0,43.0
DODGY_CODE,REC_CATCH_EXCEPTION,nan,nan,nan,nan,nan,1182.0,0.0,283.4651162790698,276.0,40.0
DODGY_CODE,RV_RETURN_VALUE_IGNORED_INFERRED,77.0,77.0,77.0,77.0,2.0,348.0,199.0,224.45454545454547,199.0,11.0
DODGY_CODE,UC_USELESS_CONDITION,112.0,112.0,112.0,112.0,1.0,nan,nan,nan,nan,nan
DODGY_CODE,UC_USELESS_OBJECT,1025.0,276.0,714.2,928.0,5.0,765.0,5.0,382.28125,279.0,32.0
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,nan,nan,nan,nan,nan,1182.0,5.0,421.01234567901236,326.0,81.0
DODGY_CODE,UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,nan,nan,nan,nan,nan,372.0,0.0,65.0,33.0,17.0
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,444.0,0.0,102.85714285714286,0.0,2.0,1182.0,0.0,216.02105263157895,37.0,164.0
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,32.0,6.0,23.0,27.0,4.0,372.0,0.0,78.75409836065573,28.0,100.0
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION,45.0,45.0,45.0,45.0,1.0,326.0,326.0,326.0,326.0,1.0
I18N,DM_CONVERT_CASE,28.0,28.0,28.0,28.0,2.0,nan,nan,nan,nan,nan
I18N,DM_DEFAULT_ENCODING,1146.0,45.0,437.0,120.0,9.0,372.0,0.0,80.875,12.0,69.0
MALICIOUS_CODE,EI_EXPOSE_REP,nan,nan,nan,nan,nan,765.0,276.0,474.3809523809524,442.0,63.0
MALICIOUS_CODE,EI_EXPOSE_REP2,nan,nan,nan,nan,nan,765.0,276.0,474.3809523809524,442.0,63.0
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,nan,nan,nan,nan,nan,372.0,0.0,60.04,18.0,22.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,904.0,85.0,548.4,807.0,5.0,1097.0,1.0,302.56410256410254,276.0,39.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,nan,nan,nan,nan,nan,250.0,0.0,66.2,1.0,3.0
PERFORMANCE,SS_SHOULD_BE_STATIC,25.0,25.0,25.0,25.0,3.0,nan,nan,nan,nan,nan
PERFORMANCE,UPM_UNCALLED_PRIVATE_METHOD,nan,nan,nan,nan,nan,102.0,0.0,39.38461538461539,18.0,12.0
PERFORMANCE,URF_UNREAD_FIELD,nan,nan,nan,nan,nan,1182.0,5.0,453.22727272727275,351.0,44.0
PERFORMANCE,UUF_UNUSED_FIELD,nan,nan,nan,nan,nan,102.0,6.0,39.0,9.0,6.0
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,32.0,32.0,32.0,32.0,1.0,372.0,0.0,112.25,38.5,3.0
