vtype,average,above_average,below_average
all,184.3734939759036,17,66
DLS_DEAD_LOCAL_STORE,71.5,1,1
DM_CONVERT_CASE,28.0,2,0
DM_DEFAULT_ENCODING,437.0,3,6
ES_COMPARING_PARAMETER_STRING_WITH_EQ,112.0,1,0
MF_CLASS_MASKS_FIELD,6.0,1,0
NP_NULL_ON_SOME_PATH,1113.0,1,0
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,79.0,1,0
NP_UNWRITTEN_FIELD,25.5,2,2
NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,40.666666666666664,2,1
OBL_UNSATISFIED_OBLIGATION,45.0,1,0
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,173.0,2,2
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,0.5,1,1
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,109.45454545454545,1,10
RV_RETURN_VALUE_IGNORED_INFERRED,77.0,2,0
SIC_INNER_SHOULD_BE_STATIC,548.4,3,2
SS_SHOULD_BE_STATIC,25.0,3,0
UC_USELESS_CONDITION,112.0,1,0
UC_USELESS_OBJECT,714.2,3,2
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,102.85714285714286,2,5
UWF_UNWRITTEN_FIELD,15.153846153846153,6,7
UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,23.0,3,1
WMI_WRONG_MAP_ITERATOR,32.0,1,0
