vtype,average,above_average,below_average
all,217.7964796479648,825,993
DE_MIGHT_IGNORE,283.4651162790698,16,27
DLS_DEAD_LOCAL_STORE,57.9,6,24
DM_DEFAULT_ENCODING,80.875,16,64
EI_EXPOSE_REP,474.3809523809524,24,39
EI_EXPOSE_REP2,474.3809523809524,24,39
ES_COMPARING_PARAMETER_STRING_WITH_EQ,60.05882352941177,3,14
MF_CLASS_MASKS_FIELD,147.4,9,11
NP_LOAD_OF_KNOWN_NULL_VALUE,0.0,2,0
NP_NULL_ON_SOME_PATH,80.21428571428571,3,11
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,54.31578947368421,2,17
NP_NULL_PARAM_DEREF,283.4651162790698,16,27
NP_UNWRITTEN_FIELD,99.52380952380952,13,29
NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,111.51428571428572,9,26
OBL_UNSATISFIED_OBLIGATION,326.0,1,0
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,301.63829787234044,17,30
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,45.857142857142854,1,6
REC_CATCH_EXCEPTION,283.4651162790698,16,27
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,218.7136842105263,211,264
RV_RETURN_VALUE_IGNORED_INFERRED,224.45454545454547,3,8
SBSC_USE_STRINGBUFFER_CONCATENATION,60.04,4,21
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,283.4651162790698,16,27
SIC_INNER_SHOULD_BE_STATIC,302.56410256410254,15,24
SIC_INNER_SHOULD_BE_STATIC_ANON,66.2,2,3
UC_USELESS_OBJECT,382.28125,10,22
UPM_UNCALLED_PRIVATE_METHOD,39.38461538461539,4,9
URF_UNREAD_FIELD,453.22727272727275,17,27
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,421.01234567901236,33,48
UR_UNINIT_READ,54.0,2,2
UUF_UNUSED_FIELD,39.0,2,4
UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,65.0,4,15
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,216.02105263157895,85,105
UWF_UNWRITTEN_FIELD,78.11029411764706,34,102
UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,78.75409836065573,29,93
WMI_WRONG_MAP_ITERATOR,112.25,1,3
