,,max,min,average,median,fixed-cnt,unfixed-cnt
BAD_PRACTICE,DE_MIGHT_IGNORE,nan,nan,nan,nan,nan,43.0
BAD_PRACTICE,ES_COMPARING_PARAMETER_STRING_WITH_EQ,112.0,112.0,112.0,112.0,1.0,17.0
BAD_PRACTICE,RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,1146.0,0.0,109.45454545454545,8.0,9.0,475.0
BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,nan,nan,nan,nan,nan,43.0
CORRECTNESS,MF_CLASS_MASKS_FIELD,6.0,6.0,6.0,6.0,1.0,20.0
CORRECTNESS,NP_NULL_ON_SOME_PATH,1113.0,1113.0,1113.0,1113.0,1.0,14.0
CORRECTNESS,NP_NULL_PARAM_DEREF,nan,nan,nan,nan,nan,43.0
CORRECTNESS,NP_UNWRITTEN_FIELD,45.0,6.0,25.5,25.5,4.0,42.0
CORRECTNESS,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,1.0,0.0,0.5,0.5,1.0,7.0
CORRECTNESS,UR_UNINIT_READ,nan,nan,nan,nan,nan,4.0
CORRECTNESS,UWF_UNWRITTEN_FIELD,51.0,0.0,15.153846153846153,8.0,11.0,136.0
DODGY_CODE,DLS_DEAD_LOCAL_STORE,111.0,32.0,71.5,71.5,2.0,30.0
DODGY_CODE,NP_LOAD_OF_KNOWN_NULL_VALUE,nan,nan,nan,nan,nan,2.0
DODGY_CODE,NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,79.0,79.0,79.0,79.0,1.0,19.0
DODGY_CODE,NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,45.0,32.0,40.666666666666664,45.0,3.0,35.0
DODGY_CODE,RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,352.0,32.0,173.0,154.0,4.0,47.0
DODGY_CODE,REC_CATCH_EXCEPTION,nan,nan,nan,nan,nan,43.0
DODGY_CODE,RV_RETURN_VALUE_IGNORED_INFERRED,77.0,77.0,77.0,77.0,2.0,11.0
DODGY_CODE,UC_USELESS_CONDITION,112.0,112.0,112.0,112.0,1.0,nan
DODGY_CODE,UC_USELESS_OBJECT,1025.0,276.0,714.2,928.0,5.0,32.0
DODGY_CODE,URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,nan,nan,nan,nan,nan,81.0
DODGY_CODE,UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,nan,nan,nan,nan,nan,19.0
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,444.0,0.0,102.85714285714286,0.0,2.0,190.0
DODGY_CODE,UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,32.0,6.0,23.0,27.0,4.0,122.0
EXPERIMENTAL,OBL_UNSATISFIED_OBLIGATION,45.0,45.0,45.0,45.0,1.0,1.0
I18N,DM_CONVERT_CASE,28.0,28.0,28.0,28.0,2.0,nan
I18N,DM_DEFAULT_ENCODING,1146.0,45.0,437.0,120.0,9.0,80.0
MALICIOUS_CODE,EI_EXPOSE_REP,nan,nan,nan,nan,nan,63.0
MALICIOUS_CODE,EI_EXPOSE_REP2,nan,nan,nan,nan,nan,63.0
PERFORMANCE,SBSC_USE_STRINGBUFFER_CONCATENATION,nan,nan,nan,nan,nan,25.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,904.0,85.0,548.4,807.0,5.0,39.0
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,nan,nan,nan,nan,nan,5.0
PERFORMANCE,SS_SHOULD_BE_STATIC,25.0,25.0,25.0,25.0,3.0,nan
PERFORMANCE,UPM_UNCALLED_PRIVATE_METHOD,nan,nan,nan,nan,nan,13.0
PERFORMANCE,URF_UNREAD_FIELD,nan,nan,nan,nan,nan,44.0
PERFORMANCE,UUF_UNUSED_FIELD,nan,nan,nan,nan,nan,6.0
PERFORMANCE,WMI_WRONG_MAP_ITERATOR,32.0,32.0,32.0,32.0,1.0,4.0
