vtype,tp num,fp num,percent
DLS_DEAD_LOCAL_STORE,2,12,0.14285714285714285
SBSC_USE_STRINGBUFFER_CONCATENATION,0,10,0.0
SIC_INNER_SHOULD_BE_STATIC_ANON,0,2,0.0
UUF_UNUSED_FIELD,0,2,0.0
RV_RETURN_VALUE_IGNORED_BAD_PRACTICE,11,295,0.03594771241830065
UPM_UNCALLED_PRIVATE_METHOD,0,5,0.0
NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,1,8,0.1111111111111111
SS_SHOULD_BE_STATIC,3,0,1.0
NP_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,3,22,0.12
UR_UNINIT_READ,0,2,0.0
SIC_INNER_SHOULD_BE_STATIC,5,25,0.16666666666666666
NP_NULL_PARAM_DEREF,0,29,0.0
EI_EXPOSE_REP2,0,63,0.0
NP_UNWRITTEN_FIELD,4,23,0.14814814814814814
NP_NULL_ON_SOME_PATH,1,4,0.2
UWF_UNWRITTEN_PUBLIC_OR_PROTECTED_FIELD,4,61,0.06153846153846154
WMI_WRONG_MAP_ITERATOR,1,3,0.25
RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,2,3,0.4
ES_COMPARING_PARAMETER_STRING_WITH_EQ,1,6,0.14285714285714285
UC_USELESS_OBJECT,5,30,0.14285714285714285
DM_CONVERT_CASE,2,0,1.0
REC_CATCH_EXCEPTION,0,29,0.0
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,4,37,0.0975609756097561
DE_MIGHT_IGNORE,0,29,0.0
SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,0,29,0.0
OBL_UNSATISFIED_OBLIGATION,1,1,0.5
UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,7,116,0.056910569105691054
DM_DEFAULT_ENCODING,9,31,0.225
URF_UNREAD_PUBLIC_OR_PROTECTED_FIELD,0,71,0.0
UC_USELESS_CONDITION,1,0,1.0
RV_RETURN_VALUE_IGNORED_INFERRED,2,11,0.15384615384615385
EI_EXPOSE_REP,0,63,0.0
UWF_UNWRITTEN_FIELD,13,72,0.15294117647058825
MF_CLASS_MASKS_FIELD,1,10,0.09090909090909091
URF_UNREAD_FIELD,0,42,0.0
UUF_UNUSED_PUBLIC_OR_PROTECTED_FIELD,0,10,0.0
