categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life_time,mark-all,mark-human,Kind,Name,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,location_count,method_count,file_count
DODGY_CODE,REC_CATCH_EXCEPTION,3,20,commons-configuration,e8f7638f870ab6f86b57feaf6ad157b76bab1d69,a70e64f79dc18ff816158c3c2ebdfb4cfb17de68,src/java/org/apache/commons/configuration/resolver/CatalogResolver.java,166,166,37d3eb581cd981b12e0b0a04010d0e37d75d7029,src/java/org/apache/commons/configuration/resolver/CatalogResolver.java,resolveEntity(Ljava/lang/String;Ljava/lang/String;)Lorg/xml/sax/InputSource;,NO_FIELD,fixed,29,TP,FALSE,Public Method,"org.apache.commons.configuration.XMLConfiguration.resolveEntity(String,String)",java\org\apache\commons\configuration\XMLConfiguration.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,25,0,12,2,4,13,2,2,0,2,4,1,3,2,2,2,1,1,-1,-1,-1,-1,0,-1,1,0,-1,-1,1.08,2,2,2,1,1,1,6
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,20,commons-configuration,a3533f91fc22d286131cf475de6bdad498a3c8d3,88c71f516ee5a3ee03e1eddd4e954d1356be6570,src/main/java/org/apache/commons/configuration2/tree/InMemoryNodeModel.java,474,503,63bb3e88d13e6447f64bac47fcfd71b60c5a4c3e,src/main/java/org/apache/commons/configuration2/tree/InMemoryNodeModel.java,NO_METHOD,NO_FIELD,fixed,1825,TP,FALSE,Public Class,org.apache.commons.configuration2.tree.InMemoryNodeModel,main\java\org\apache\commons\configuration2\tree\InMemoryNodeModel.java,1,1,1,1,22,0,12,9,2,17,17,0,-1,17,1,-1,-1,-1,39,1,56,56,3,24,0,29,-1,1367,70,738,221,343,559,-1,-1,-1,200,307,144,163,-1,-1,-1,-1,-1,3,3,4,3,-1,1,2,-1,73,37,0.76,91,91,97,62,12,43,43
I18N,DM_DEFAULT_ENCODING,1,19,commons-configuration,a3533f91fc22d286131cf475de6bdad498a3c8d3,86c68c3a3f73a62e9a21d3f5cb692099d52f1fc4,src/main/java/org/apache/commons/configuration2/plist/XMLPropertyListConfiguration.java,412,412,997f50595fd7b2df1730c7d4f9a0332ae9aad9f6,src/main/java/org/apache/commons/configuration2/plist/XMLPropertyListConfiguration.java,printValue(Ljava/io/PrintWriter;ILjava/lang/Object;)V,NO_FIELD,fixed,217,TP,TRUE,Private Method,"org.apache.commons.configuration2.plist.PropertyListConfiguration.printValue(PrintWriter,int,Object)",main\java\org\apache\commons\configuration2\plist\PropertyListConfiguration.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,67,2,60,12,35,5,23,11,1,23,34,10,24,11,11,11,1,6,-1,-1,-1,-1,0,-1,3,0,-1,-1,0.08,11,11,11,1,2,3,49
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,18,commons-configuration,c38fc8009e6211714014249680fdfedaad19f628,99e885b63fb8ead66134a84c23aecf50d24adf31,src/java/org/apache/commons/configuration/DynamicCombinedConfiguration.java,799,832,cfb1263cbf338bf78f64b7d7efb928c2b57f3c16,src/java/org/apache/commons/configuration/DynamicCombinedConfiguration.java,NO_METHOD,NO_FIELD,fixed,28,TP,TRUE,Public Class,org.apache.commons.configuration.DynamicCombinedConfiguration,java\org\apache\commons\configuration\DynamicCombinedConfiguration.java,1,1,1,1,7,0,5,1,1,7,7,0,-1,0,1,-1,-1,-1,82,5,82,241,0,1,1,80,-1,788,101,509,123,178,178,-1,-1,-1,154,269,123,146,-1,-1,-1,-1,-1,5,5,5,1,-1,5,2,-1,94,49,0.35,106,106,106,82,1,5,7
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC_ANON,3,20,commons-configuration,18c55d7c4fedd929486d317a8fcd2f8f442c6a5e,c92cf00e66b8b5215636a283eaed7f519e0a8f92,src/main/java/org/apache/commons/configuration/BaseHierarchicalConfiguration.java,566,571,bcbc29a607826bd91bd5abd39e399535c612270c,src/main/java/org/apache/commons/configuration/BaseHierarchicalConfiguration.java,NO_METHOD,NO_FIELD,fixed,89,TP,FALSE,Public Class,org.apache.commons.configuration.BaseHierarchicalConfiguration,main\java\org\apache\commons\configuration\BaseHierarchicalConfiguration.java,1,1,1,1,21,0,11,9,4,16,16,10,-1,5,5,-1,-1,-1,50,4,55,167,1,6,24,24,-1,1687,115,801,178,340,771,-1,-1,-1,240,401,159,242,-1,-1,-1,-1,-1,8,8,8,3,-1,3,3,-1,95,61,0.96,105,105,109,59,2,15,15
DODGY_CODE,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,commons-configuration,9e59ee0f1553ebadbdf5cda0c50fe3500a6b14ba,5ae889e4e12ab0cf56e57b0a65db3cd1fb772087,src/main/java/org/apache/commons/configuration/tree/xpath/ConfigurationNodeIteratorBase.java,104,104,98a36cb34c1a33d119ddc670d0a71bfd593cb0e1,src/main/java/org/apache/commons/configuration/tree/xpath/ConfigurationNodeIteratorBase.java,getNodePointer()Lorg/apache/commons/jxpath/ri/model/NodePointer;,subNodes,fixed,2,TP,TRUE,Public Method,org.apache.commons.configuration.tree.xpath.ConfigurationNodeIteratorBase.getNodePointer(),main\java\org\apache\commons\configuration\tree\xpath\ConfigurationNodeIteratorBase.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,15,1,9,1,4,5,6,2,0,2,4,1,3,2,2,3,1,1,-1,-1,-1,-1,0,-1,1,0,-1,-1,0.56,2,2,3,1,13,14,27
DODGY_CODE,BC_UNCONFIRMED_CAST_OF_RETURN_VALUE,3,20,commons-configuration,02fb33f7617a0924468d9dacf5bc2406f2446cef,d9ba52121b7d666c34b35f8a643521947806294f,src/main/java/org/apache/commons/configuration/beanutils/XMLBeanDeclaration.java,407,407,bfbc68c3988bfd8e097fa229a29621ff93087cfb,src/main/java/org/apache/commons/configuration/beanutils/XMLBeanDeclaration.java,createBeanDeclaration(Lorg/apache/commons/configuration/tree/ConfigurationNode;)Lorg/apache/commons/configuration/beanutils/BeanDeclaration;,NO_FIELD,fixed,301,TP,TRUE,Protected Method,org.apache.commons.configuration.beanutils.TestXMLBeanDeclaration.testGetNestedBeanDeclarationsFactoryMethod.(Anon_1).createBeanDeclaration(ConfigurationNode),test\java\org\apache\commons\configuration\beanutils\TestXMLBeanDeclaration.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,0,6,0,4,0,5,1,0,1,2,1,1,1,1,1,1,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,1,1,1,1,4,8,8
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-configuration,1cc8f22253c7d9d8d7472180dae3fcc1b5b49df9,1cc8f22253c7d9d8d7472180dae3fcc1b5b49df9,src/java/org/apache/commons/configuration/ConfigurationUtils.java,400,400,b9697a700c55addd10890466864341b085283261,src/java/org/apache/commons/configuration/ConfigurationUtils.java,constructFile(Ljava/lang/String;Ljava/lang/String;)Ljava/io/File;,NO_FIELD,fixed,1,TP,FALSE,Static Method,"org.apache.commons.configuration.ConfigurationUtils.constructFile(String,String)",java\org\apache\commons\configuration\ConfigurationUtils.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,54,6,32,4,17,16,8,10,1,11,16,4,12,5,5,7,1,2,-1,-1,-1,-1,0,-1,2,0,-1,-1,0.5,5,5,7,1,2,9,28
PERFORMANCE,SIC_INNER_SHOULD_BE_STATIC,2,18,commons-configuration,89abc5c6325104bcd6831dca996612b75647f6b8,99e885b63fb8ead66134a84c23aecf50d24adf31,src/java/org/apache/commons/configuration/plist/XMLPropertyListConfiguration.java,415,551,cfb1263cbf338bf78f64b7d7efb928c2b57f3c16,src/java/org/apache/commons/configuration/plist/XMLPropertyListConfiguration.java,NO_METHOD,NO_FIELD,fixed,291,TP,TRUE,Public Class,org.apache.commons.configuration.plist.XMLPropertyListConfiguration,java\org\apache\commons\configuration\plist\XMLPropertyListConfiguration.java,3,3,3,1,24,1,18,4,1,6,6,0,-1,0,2,-1,-1,-1,11,0,11,191,0,2,0,9,-1,675,55,413,67,188,208,-1,-1,-1,126,204,66,138,-1,-1,-1,-1,-1,15,15,17,1,-1,5,3,-1,0,0,0.5,33,33,35,11,2,20,53
CORRECTNESS,NP_GUARANTEED_DEREF,2,8,commons-configuration,2388c5689d8e5f5c8d45c53d258fe104b0819977,c88169a5d00a8a8d9cd3ee80663738d790cee58d,src/main/java/org/apache/commons/configuration/ConfigurationUtils.java,485,485,0ffb875064a967fff15c7874ce0cf56d459c45a0,src/main/java/org/apache/commons/configuration/ConfigurationUtils.java,constructFile(Ljava/lang/String;Ljava/lang/String;)Ljava/io/File;,NO_FIELD,fixed,24,TP,FALSE,Static Method,"org.apache.commons.configuration.ConfigurationUtils.constructFile(String,String)",main\java\org\apache\commons\configuration\ConfigurationUtils.java,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,54,6,32,4,16,16,8,10,1,11,16,4,12,5,5,7,1,2,-1,-1,-1,-1,0,-1,2,0,-1,-1,0.5,5,5,7,1,1,9,35
